"sofifa_id","player_url","short_name","long_name","player_positions","overall","potential","value_eur","wage_eur","age","dob","height_cm","weight_kg","club_team_id","club_name","league_name","league_level","club_position","club_jersey_number","club_loaned_from","club_joined","club_contract_valid_until","nationality_id","nationality_name","nation_team_id","nation_position","nation_jersey_number","preferred_foot","weak_foot","skill_moves","international_reputation","work_rate","body_type","real_face","release_clause_eur","player_tags","player_traits","pace","shooting","passing","dribbling","defending","physic","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking_awareness","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","goalkeeping_speed","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","gk","player_face_url","club_logo_url","club_flag_url","nation_logo_url","nation_flag_url"
"204348","https://sofifa.com/player/204348/joel-allansson/220002","J. Allansson","Joel Emil Martin Allansson","CM","61","61","325000.0","950.0","28","1992-11-03","175","69","321.0","Halmstads BK","Swedish Allsvenskan","1.0","RCM","6.0","","2019-01-08","2023.0","46","Sweden","","","","Right","3","3","1","Medium/Medium","Normal (170-185)","No","406000.0","","","57.0","47.0","62.0","65.0","52.0","63.0","61","45","33","66","32","64","69","64","65","67","61","53","63","60","68","52","65","70","59","53","64","55","55","50","36","59","52","57","54","8","10","14","9","11","","53+2","53+2","53+2","59.0","58","58","58","59.0","59+2","59+2","59+2","61","61","61","61","61","60+1","60+1","60+1","60+1","60+1","58+2","55+2","55+2","55+2","58+2","15+2","https://cdn.sofifa.net/players/204/348/22_120.png","https://cdn.sofifa.net/teams/321/60.png","https://cdn.sofifa.net/flags/se.png","","https://cdn.sofifa.net/flags/se.png"
"200744","https://sofifa.com/player/200744/ryan-watson/220002","R. Watson","Ryan James Watson","CAM, CM","63","63","500000.0","2000.0","27","1993-07-07","185","73","15048.0","Tranmere Rovers","English League Two","4.0","SUB","10.0","","2021-07-01","2023.0","14","England","","","","Right","2","2","1","Medium/High","Lean (185+)","No","875000.0","","Long Passer (AI), Long Shot Taker (AI)","65.0","59.0","62.0","64.0","58.0","69.0","58","57","53","65","46","64","54","51","63","62","64","66","71","60","66","62","78","72","69","63","61","57","59","63","52","60","59","60","58","7","11","11","14","16","","60+2","60+2","60+2","62.0","62","62","62","62.0","63","63","63","63","63","63","63","63","62+1","62+1","62+1","62+1","62+1","61+2","61+2","61+2","61+2","61+2","17+2","https://cdn.sofifa.net/players/200/744/22_120.png","https://cdn.sofifa.net/teams/15048/60.png","https://cdn.sofifa.net/flags/gb-eng.png","","https://cdn.sofifa.net/flags/gb-eng.png"
"229556","https://sofifa.com/player/229556/allano-brendon-de-souza-lima/220002","Allano","Allano Brendon de Souza Lima","LW, RW","73","74","3600000.0","7000.0","26","1995-04-24","182","74","1438.0","Santa Clara","Portuguese Liga ZON SAGRES","1.0","LW","7.0","","2021-01-17","2023.0","54","Brazil","","","","Left","3","3","1","Medium/Medium","Lean (170-185)","No","7800000.0","","Technical Dribbler (AI)","81.0","64.0","67.0","78.0","47.0","63.0","68","68","53","70","45","81","59","49","64","78","81","81","80","68","66","63","55","75","61","65","55","47","64","67","54","68","45","47","50","8","14","9","13","14","","68+2","68+2","68+2","73.0","72","72","72","73.0","72+2","72+2","72+2","73+1","68+2","68+2","68+2","73+1","64+2","60+2","60+2","60+2","64+2","61+2","54+2","54+2","54+2","61+2","18+2","https://cdn.sofifa.net/players/229/556/22_120.png","https://cdn.sofifa.net/teams/1438/60.png","https://cdn.sofifa.net/flags/pt.png","","https://cdn.sofifa.net/flags/br.png"
"258555","https://sofifa.com/player/258555/dani-van-den-heuvel/220002","D. van den Heuvel","Dani van den Heuvel","GK","59","79","550000.0","900.0","18","2003-05-28","184","72","8.0","Leeds United","English Premier League","1.0","RES","40.0","","2020-08-18","2023.0","34","Netherlands","","","","Right","3","1","1","Medium/Medium","Normal (170-185)","No","1600000.0","","","","","","","","","12","6","14","32","5","10","14","14","29","19","17","24","37","48","46","46","61","16","50","8","20","13","4","30","14","21","5","13","13","61","59","61","56","59","20.0","20+2","20+2","20+2","18.0","20","20","20","18.0","22+2","22+2","22+2","20+2","23+2","23+2","23+2","20+2","19+2","22+2","22+2","22+2","19+2","18+2","21+2","21+2","21+2","18+2","58+2","https://cdn.sofifa.net/players/258/555/22_120.png","https://cdn.sofifa.net/teams/8/60.png","https://cdn.sofifa.net/flags/gb-eng.png","","https://cdn.sofifa.net/flags/nl.png"
"202401","https://sofifa.com/player/202401/anderson-patric-aguiar-oliveira/220002","Patric","Anderson Patric Aguiar Oliveira","ST","68","68","775000.0","6000.0","33","1987-10-26","189","82","112093.0","Gamba Osaka","Japanese J. League Division 1","1.0","SUB","18.0","","2020-01-06","2022.0","54","Brazil","","","","Right","3","3","1","Medium/Low","Normal (185+)","No","969000.0","","Power Header","62.0","67.0","52.0","61.0","33.0","75.0","43","65","85","56","66","63","59","55","51","63","61","63","53","61","36","73","63","57","88","63","67","39","71","53","73","63","17","30","21","11","7","9","9","9","","68","68","68","60.0","63","63","63","60.0","60+2","60+2","60+2","59+2","56+2","56+2","56+2","59+2","46+2","48+2","48+2","48+2","46+2","45+2","48+2","48+2","48+2","45+2","15+2","https://cdn.sofifa.net/players/202/401/22_120.png","https://cdn.sofifa.net/teams/112093/60.png","https://cdn.sofifa.net/flags/jp.png","","https://cdn.sofifa.net/flags/br.png"
"257532","https://sofifa.com/player/257532/niko-bretschneider/220002","N. Bretschneider","Niko Bretschneider","LB","59","67","475000.0","1000.0","21","1999-08-10","181","69","1825.0","MSV Duisburg","German 3. Bundesliga","3.0","LB","27.0","","2020-07-27","2022.0","21","Germany","","","","Left","3","2","1","Medium/Medium","Lean (170-185)","No","784000.0","","Injury Prone","73.0","27.0","48.0","54.0","56.0","56.0","51","24","48","53","27","57","36","33","48","47","78","68","63","55","68","28","59","65","53","24","51","54","49","44","34","40","54","60","58","11","10","8","10","8","","44+2","44+2","44+2","51.0","48","48","48","51.0","49+2","49+2","49+2","53+2","50+2","50+2","50+2","53+2","57+2","54+2","54+2","54+2","57+2","57+2","55+2","55+2","55+2","57+2","15+2","https://cdn.sofifa.net/players/257/532/22_120.png","https://cdn.sofifa.net/teams/1825/60.png","https://cdn.sofifa.net/flags/de.png","","https://cdn.sofifa.net/flags/de.png"
"246182","https://sofifa.com/player/246182/matej-pulkrab/220002","M. Pulkrab","Matěj Pulkrab","ST","69","73","2000000.0","500.0","24","1997-05-23","182","78","267.0","AC Sparta Praha","Czech Republic Gambrinus Liga","1.0","SUB","18.0","","2016-01-01","2022.0","12","Czech Republic","","","","Right","2","2","1","High/High","Normal (170-185)","No","4600000.0","","Power Header","71.0","67.0","54.0","62.0","31.0","74.0","51","70","72","62","66","60","47","49","39","67","70","71","64","67","52","69","72","59","78","61","84","30","70","59","60","55","23","28","24","6","7","8","10","11","","69+2","69+2","69+2","64.0","66","66","66","64.0","63+2","63+2","63+2","62+2","57+2","57+2","57+2","62+2","48+2","48+2","48+2","48+2","48+2","47+2","48+2","48+2","48+2","47+2","15+2","https://cdn.sofifa.net/players/246/182/22_120.png","https://cdn.sofifa.net/teams/267/60.png","https://cdn.sofifa.net/flags/cz.png","","https://cdn.sofifa.net/flags/cz.png"
"256458","https://sofifa.com/player/256458/kent-malic-swaleh/220002","K. Swaleh","Kent Malic Swaleh","RW","50","70","130000.0","500.0","18","2003-03-29","170","60","918.0","FK Bodø/Glimt","Norwegian Eliteserien","1.0","RES","31.0","","2020-04-24","2023.0","36","Norway","","","","Right","3","2","1","Medium/Medium","Lean (170-)","No","293000.0","","","67.0","45.0","42.0","53.0","18.0","32.0","45","50","32","43","40","51","40","37","35","51","67","67","73","36","75","45","36","35","31","38","32","15","45","43","40","42","16","18","16","11","14","13","6","8","","46+2","46+2","46+2","50.0","48","48","48","50.0","47+2","47+2","47+2","48+2","40+2","40+2","40+2","48+2","35+2","30+2","30+2","30+2","35+2","33+2","26+2","26+2","26+2","33+2","13+2","https://cdn.sofifa.net/players/256/458/22_120.png","https://cdn.sofifa.net/teams/918/60.png","https://cdn.sofifa.net/flags/no.png","","https://cdn.sofifa.net/flags/no.png"
"224459","https://sofifa.com/player/224459/victor-salazar/220002","V. Salazar","Víctor Ezequiel Salazar","RB, RWB","71","71","1700000.0","850.0","28","1993-05-26","175","67","101108.0","Club Olimpia","Paraguayan Primera División","1.0","SUB","2.0","","2021-06-17","2022.0","52","Argentina","","","","Right","2","3","1","High/Medium","Lean (170-185)","No","3700000.0","","Speed Dribbler (AI)","87.0","48.0","57.0","69.0","64.0","70.0","60","47","52","66","35","69","47","35","61","65","86","88","86","66","74","55","62","84","62","49","76","64","58","43","36","55","60","71","69","13","16","8","7","13","","60+2","60+2","60+2","64.0","62","62","62","64.0","62+2","62+2","62+2","66+2","62+2","62+2","62+2","66+2","69+2","66+2","66+2","66+2","69+2","69+2","65+2","65+2","65+2","69+2","18+2","https://cdn.sofifa.net/players/224/459/22_120.png","https://cdn.sofifa.net/teams/101108/60.png","https://cdn.sofifa.net/flags/py.png","","https://cdn.sofifa.net/flags/ar.png"
"236591","https://sofifa.com/player/236591/edi-sylisufaj/220002","E. Sylisufaj","Edi Sylisufaj","ST","63","74","1100000.0","950.0","21","2000-03-08","179","80","113458.0","IK Sirius","Swedish Allsvenskan","1.0","SUB","29.0","","2016-10-15","2022.0","219","Kosovo","","","","Right","3","3","1","Medium/Medium","Normal (170-185)","No","1600000.0","","","70.0","66.0","48.0","63.0","24.0","68.0","38","65","47","58","65","61","51","38","39","63","68","72","71","59","71","73","67","64","74","66","58","22","61","51","48","68","19","24","16","9","14","8","9","12","","63+2","63+2","63+2","60.0","62","62","62","60.0","60+2","60+2","60+2","58+2","53+2","53+2","53+2","58+2","44+2","43+2","43+2","43+2","44+2","41+2","39+2","39+2","39+2","41+2","16+2","https://cdn.sofifa.net/players/236/591/22_120.png","https://cdn.sofifa.net/teams/113458/60.png","https://cdn.sofifa.net/flags/se.png","","https://cdn.sofifa.net/flags/xk.png"
"210679","https://sofifa.com/player/210679/paulo-andre-rodrigues-oliveira/220002","Paulo Oliveira","Paulo André Rodrigues de Oliveira","CB","76","77","7000000.0","14000.0","29","1992-01-08","187","82","1896.0","SC Braga","Portuguese Liga ZON SAGRES","1.0","RCB","15.0","","2021-07-01","2025.0","38","Portugal","","","","Right","2","2","1","Medium/High","Lean (185+)","Yes","14500000.0","","Dives Into Tackles (AI)","61.0","35.0","51.0","61.0","77.0","76.0","36","25","77","67","36","60","33","29","63","68","59","62","49","72","39","61","89","69","80","29","71","76","30","41","45","60","76","79","76","13","8","10","11","10","","53+2","53+2","53+2","52.0","53","53","53","52.0","54+2","54+2","54+2","55+2","60+2","60+2","60+2","55+2","67+2","71+2","71+2","71+2","67+2","69+2","76+1","76+1","76+1","69+2","17+2","https://cdn.sofifa.net/players/210/679/22_120.png","https://cdn.sofifa.net/teams/1896/60.png","https://cdn.sofifa.net/flags/pt.png","","https://cdn.sofifa.net/flags/pt.png"
"261973","https://sofifa.com/player/261973/vuk-latinovich/220002","V. Latinovich","Vuk Latinovich","CB","55","62","240000.0","1000.0","23","1997-09-14","185","82","112828.0","New York City FC","USA Major League Soccer","1.0","RES","32.0","","2021-04-15","2021.0","51","Serbia","","","","Right","2","2","1","Low/Medium","Lean (185+)","No","408000.0","","","49.0","24.0","28.0","31.0","53.0","69.0","22","19","57","28","29","22","27","26","34","33","41","55","46","48","49","34","71","62","72","24","69","53","22","29","31","38","51","54","56","13","11","14","13","12","","35+2","35+2","35+2","30.0","31","31","31","30.0","30+2","30+2","30+2","32+2","35+2","35+2","35+2","32+2","44+2","46+2","46+2","46+2","44+2","47+2","55+2","55+2","55+2","47+2","16+2","https://cdn.sofifa.net/players/261/973/22_120.png","https://cdn.sofifa.net/teams/112828/60.png","https://cdn.sofifa.net/flags/us.png","","https://cdn.sofifa.net/flags/rs.png"
"263132","https://sofifa.com/player/263132/can-keles/220002","C. Keles","Can Keles","LM, RM","61","73","775000.0","2000.0","19","2001-09-02","180","77","256.0","FK Austria Wien","Austrian Football Bundesliga","1.0","SUB","16.0","","2021-07-01","2023.0","4","Austria","","","","Left","4","2","1","High/Medium","Normal (170-185)","No","1300000.0","","","74.0","53.0","54.0","63.0","26.0","55.0","58","53","45","58","52","66","50","35","50","63","72","76","60","49","64","58","47","65","59","46","32","20","53","50","53","48","25","23","27","7","9","14","9","13","","57+2","57+2","57+2","60.0","58","58","58","60.0","57+2","57+2","57+2","60+2","52+2","52+2","52+2","60+2","47+2","42+2","42+2","42+2","47+2","44+2","36+2","36+2","36+2","44+2","14+2","https://cdn.sofifa.net/players/263/132/22_120.png","https://cdn.sofifa.net/teams/256/60.png","https://cdn.sofifa.net/flags/at.png","","https://cdn.sofifa.net/flags/at.png"
"233681","https://sofifa.com/player/233681/shibo-liu/220002","Liu Shibo","刘世博","GK","54","62","210000.0","2000.0","24","1997-05-20","189","78","111839.0","Guangzhou FC","Chinese Super League","1.0","RES","1.0","","2016-01-01","2021.0","155","China PR","","","","Right","2","1","1","Medium/Medium","Lean (185+)","No","378000.0","","","","","","","","","14","16","15","28","18","18","13","11","31","17","33","36","48","51","49","38","55","32","55","19","24","21","18","48","18","38","27","14","13","52","56","51","48","57","34.0","26+2","26+2","26+2","25.0","27","27","27","25.0","28+2","28+2","28+2","26+2","29+2","29+2","29+2","26+2","24+2","27+2","27+2","27+2","24+2","24+2","26+2","26+2","26+2","24+2","53+2","https://cdn.sofifa.net/players/233/681/22_120.png","https://cdn.sofifa.net/teams/111839/60.png","https://cdn.sofifa.net/flags/cn.png","","https://cdn.sofifa.net/flags/cn.png"
"254680","https://sofifa.com/player/254680/yassin-oukili/220002","Y. Oukili","Yassin Oukili","CM, CAM","60","73","600000.0","950.0","20","2001-01-03","184","75","1905.0","RKC Waalwijk","Holland Eredivisie","1.0","RES","33.0","","2021-01-20","2023.0","34","Netherlands","","","","Right","3","3","1","Medium/Medium","Normal (170-185)","No","1200000.0","","","47.0","53.0","59.0","63.0","44.0","64.0","49","53","41","66","50","65","51","50","63","67","49","46","56","55","50","58","59","59","73","52","49","48","58","56","36","60","47","42","35","9","8","8","14","9","","56+2","56+2","56+2","58.0","58","58","58","58.0","60+2","60+2","60+2","59+2","60+2","60+2","60+2","59+2","52+2","55+2","55+2","55+2","52+2","49+2","50+2","50+2","50+2","49+2","15+2","https://cdn.sofifa.net/players/254/680/22_120.png","https://cdn.sofifa.net/teams/1905/60.png","https://cdn.sofifa.net/flags/nl.png","","https://cdn.sofifa.net/flags/nl.png"
"263057","https://sofifa.com/player/263057/toni-silic/220002","T. Silić","Toni Silić","GK","55","76","350000.0","500.0","17","2004-05-07","185","71","263.0","Hajduk Split","Croatian Prva HNL","1.0","SUB","33.0","","2021-07-01","2024.0","10","Croatia","","","","Right","2","1","1","Medium/Medium","Lean (185+)","No","1100000.0","","","","","","","","","12","16","13","19","15","13","14","12","22","13","22","22","25","57","37","38","52","21","42","17","21","17","16","49","16","28","16","12","14","60","53","50","48","52","22.0","23+2","23+2","23+2","21.0","23","23","23","21.0","24+2","24+2","24+2","22+2","24+2","24+2","24+2","22+2","19+2","22+2","22+2","22+2","19+2","19+2","21+2","21+2","21+2","19+2","54+2","https://cdn.sofifa.net/players/263/057/22_120.png","https://cdn.sofifa.net/teams/263/60.png","https://cdn.sofifa.net/flags/hr.png","","https://cdn.sofifa.net/flags/hr.png"
"211408","https://sofifa.com/player/211408/karol-linetty/220002","K. Linetty","Karol Linetty","CM","74","76","5000000.0","35000.0","26","1995-02-02","176","73","54.0","Torino F.C.","Italian Serie A","1.0","SUB","77.0","","2020-09-01","2024.0","37","Poland","1353.0","LCM","8.0","Right","3","3","2","High/High","Normal (170-185)","No","8900000.0","","Long Shot Taker (AI)","67.0","63.0","71.0","75.0","72.0","69.0","60","64","56","78","38","74","62","36","74","76","72","62","73","74","79","70","78","76","61","64","79","76","68","76","50","70","72","74","70","13","8","11","14","6","","67+2","67+2","67+2","71.0","71","71","71","71.0","73+2","73+2","73+2","72+2","74+2","74+2","74+2","72+2","72+2","75+1","75+1","75+1","72+2","71+2","71+2","71+2","71+2","71+2","17+2","https://cdn.sofifa.net/players/211/408/22_120.png","https://cdn.sofifa.net/teams/54/60.png","https://cdn.sofifa.net/flags/it.png","https://cdn.sofifa.net/teams/1353/60.png","https://cdn.sofifa.net/flags/pl.png"
